SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532616,XCHANGING   ,B ,Q,68.25,69.40,66.00,66.80,66.00,68.10,82,11334,766695.00,
532617,JETAIRWAYS  ,Z ,Q,103.00,103.00,97.95,99.80,99.90,103.10,1685,67785,6698058.00,
532621,MORARJETEX  ,B ,Q,15.68,16.29,15.30,15.70,15.70,16.06,32,5726,90215.00,
532622,GATEWAY DIST,A ,Q,174.20,174.20,170.90,172.65,172.15,171.20,182,4604,791086.00,
532624,JINDALPH    ,B ,Q,61.20,61.20,61.20,61.20,61.20,58.30,12,1149,70318.00,
532626,PONDY OXIDES,X ,Q,220.45,220.45,213.60,214.40,214.00,216.10,108,4623,995887.00,
532627,JPPOWER     ,B ,Q,2.66,2.66,2.66,2.66,2.66,2.54,153,1281951,3409989.00,
532628,3I INFOTECH ,B ,Q,7.95,8.15,7.80,7.89,7.89,7.98,36997,1542638,12278388.00,
532629,MCNALLYB    ,T ,Q,8.30,8.36,7.75,7.80,7.75,7.97,55,21195,172698.00,
532630,GOKALDAS    ,B ,Q,81.50,84.00,79.00,83.20,82.90,79.60,498,41090,3375094.00,
532633,ALLSEC TECH ,B ,Q,310.00,320.15,298.00,320.15,320.15,307.15,66,883,272612.00,
532636,IIFL        ,A ,Q,302.50,309.00,287.50,301.25,301.25,302.50,1999,67606,19923221.00,
532637,MAN DRUGORG ,B ,Q,116.45,116.45,105.85,108.40,108.70,110.60,427,19100,2117044.00,
532638,SHOPPER STOP,A ,Q,219.00,225.00,213.85,220.95,221.90,221.05,559,18578,4086275.00,
532640,CYBER MEDIA ,T ,Q,11.80,11.80,11.80,11.80,11.80,12.40,1,1000,11800.00,
532641,NDL         ,B ,Q,30.95,30.95,30.55,30.75,30.75,30.95,34,2552,78497.00,
532642,JSWHL       ,A ,Q,3550.00,3600.00,3505.00,3568.65,3600.00,3502.25,30,52,183960.00,
532644,JK CEMENT   ,A ,Q,2715.00,2859.55,2715.00,2793.70,2798.00,2749.85,1263,4693,13113941.00,
532646,UNIPLY IND  ,Z ,Q,4.20,4.64,4.20,4.20,4.20,4.42,159,410107,1737899.00,
532648,YES BANK    ,A ,Q,14.95,15.10,14.75,14.85,14.85,14.95,28119,14587054,217249905.00,
532649,NECTAR LIFE ,B ,Q,20.35,20.35,19.60,19.70,19.60,19.35,100,14009,280017.00,
532650,MSP STEEL   ,B ,Q,7.41,7.70,7.41,7.55,7.55,7.60,33,2674,20351.00,
532651,SPL INDS    ,B ,Q,32.95,33.70,32.80,32.80,32.80,32.90,29,1449,47745.00,
532652,KARNATAKA BK,A ,Q,62.60,64.75,61.90,64.05,64.05,62.20,1165,244864,15553075.00,
