SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532523,BIOCON LTD. ,A ,Q,395.65,395.75,389.25,392.65,392.65,395.65,2001,263677,103418777.00,
532524,PTC INDIA   ,A ,Q,79.00,82.50,79.00,81.55,81.55,79.85,2573,562794,45704461.00,
532525,BANK MAHA   ,A ,Q,22.25,22.30,20.90,21.40,21.40,22.20,3207,889347,19165538.00,
532527,RK FORGINGS ,A ,Q,535.50,536.60,509.00,513.05,510.20,536.90,739,5302,2750042.00,
532528,DATAM GLOB  ,B ,Q,113.50,126.15,113.35,124.60,123.90,112.70,3658,214839,26277585.00,
532529,NDTV        ,B ,Q,55.95,57.80,55.60,57.80,57.80,55.05,58,5413,308819.00,
532531,STAR        ,A ,Q,849.00,849.00,833.00,839.20,837.00,844.65,1236,32335,27162661.00,
532532,JAIPRA      ,A ,Q,8.05,8.26,7.82,7.82,7.82,8.23,2133,2988824,23531984.00,
532538,ULTRATECH CM,A ,Q,6580.00,6701.60,6567.25,6639.25,6646.00,6559.20,2419,19009,126396916.00,
532539,MINDA IND   ,A ,Q,553.95,578.35,546.00,569.15,571.00,546.35,1493,25245,14339455.00,
532540,TCS LTD.    ,A ,Q,3064.85,3139.90,3063.00,3108.70,3108.70,3066.35,24303,294600,917719660.00,
532541,COFORGE     ,A ,Q,2830.05,3013.05,2823.75,2991.70,2991.70,2826.55,6965,65305,192263704.00,
532543,GULFPETRO   ,B ,Q,42.00,42.00,40.40,40.75,40.75,40.85,350,10726,438587.00,
532548,CENTURYPLY  ,A ,Q,318.25,318.25,312.90,317.05,317.00,315.95,741,20287,6406356.00,
532553,WELENT      ,A ,Q,122.70,126.00,120.00,121.25,121.80,119.70,893,41552,5096497.00,
532555,NTPC LTD    ,A ,Q,110.80,111.40,109.25,109.65,109.65,110.45,2456,565479,62269002.00,
532604,SALSTEEL    ,B ,Q,3.60,3.70,3.59,3.64,3.60,3.68,25,8122,29436.00,
532605,JBM AUTO    ,B ,Q,459.70,470.00,455.70,460.60,459.95,453.20,264,4057,1883051.00,
532610,DWAR SUGAR  ,A ,Q,33.20,34.65,33.10,33.25,33.25,33.10,408,100667,3400949.00,
532612,INDOCO REM  ,A ,Q,298.50,298.55,285.80,286.95,287.75,297.10,258,5981,1728467.00,
532613,VIPCLOTHNG  ,T ,Q,16.00,16.29,15.25,15.46,15.55,15.92,53,12712,199730.00,
532614,IMPEX       ,B ,Q,1.00,1.00,0.93,0.94,0.93,0.97,35,36343,35359.00,
532616,XCHANGING   ,B ,Q,70.50,73.80,70.00,70.85,70.85,68.95,412,22488,1600188.00,
532617,JETAIRWAYS  ,Z ,Q,113.00,113.45,110.00,113.45,113.45,108.05,202,19592,2218490.00,
532621,MORARJETEX  ,B ,Q,16.29,17.45,16.29,17.21,17.15,16.94,96,19342,324715.00,
532622,GATEWAY DIST,A ,Q,184.60,185.10,182.10,183.35,183.00,182.90,1062,17795,3259731.00,
532624,JINDALPH    ,B ,Q,50.45,50.45,50.45,50.45,50.45,48.05,4,71,3581.00,
532626,PONDY OXIDES,X ,Q,226.50,233.80,226.50,228.30,228.20,229.15,114,4297,979405.00,
532627,JPPOWER     ,B ,Q,2.74,2.79,2.72,2.73,2.73,2.73,22259,7681426,21166633.00,
532628,3I INFOTECH ,B ,Q,9.14,9.14,8.43,8.43,8.43,8.87,25223,6321979,55421186.00,
532629,MCNALLYB    ,T ,Q,9.00,9.15,8.90,8.96,9.10,8.72,20,15504,139517.00,
532630,GOKALDAS    ,B ,Q,82.60,86.60,82.35,85.00,84.70,81.70,628,41782,3550404.00,
532633,ALLSEC TECH ,B ,Q,325.00,329.15,322.00,325.00,324.75,329.65,56,860,278363.00,
532636,IIFL        ,A ,Q,324.00,333.65,317.95,333.50,333.50,317.80,2508,175033,58239713.00,
532637,MAN DRUGORG ,B ,Q,110.00,112.00,109.00,109.10,109.60,111.10,242,7653,843834.00,
532638,SHOPPER STOP,A ,Q,242.80,243.00,232.40,237.55,237.55,231.75,319,16947,4057385.00,
532640,CYBER MEDIA ,T ,Q,14.40,14.40,14.40,14.40,14.40,15.15,3,729,10497.00,
532641,NDL         ,B ,Q,32.30,32.30,31.50,32.05,32.00,31.80,23,2220,70966.00,
532642,JSWHL       ,A ,Q,3651.00,3661.00,3625.00,3634.85,3661.00,3658.00,20,21,76437.00,
532644,JK CEMENT   ,A ,Q,2998.00,2998.00,2836.00,2848.45,2849.00,2957.65,974,3875,11123173.00,
532648,YES BANK    ,A ,Q,15.60,15.65,15.40,15.45,15.45,15.65,20691,10802872,167478902.00,
532649,NECTAR LIFE ,B ,Q,20.80,21.10,20.30,20.40,20.40,20.75,265,41491,852597.00,
532650,MSP STEEL   ,B ,Q,8.06,8.29,7.72,7.75,7.75,8.05,49,9030,70186.00,
532651,SPL INDS    ,B ,Q,36.00,36.00,35.00,35.25,35.25,34.60,101,12377,436967.00,
532652,KARNATAKA BK,A ,Q,66.10,66.65,65.50,65.80,65.80,66.10,450,101111,6681414.00,
532654,MCLEOD RUSSE,B ,Q,22.75,23.05,22.35,22.65,22.65,22.35,160,58344,1320542.00,
532656,FACOR ALLOYS,XT,Q,2.43,2.43,2.21,2.31,2.40,2.32,127,362640,842502.00,
532659,IDFC        ,A ,Q,54.00,55.50,53.70,55.05,55.05,54.35,2604,553375,30333164.00,
532660,VIVIMED LABS,B ,Q,16.30,20.00,16.30,19.20,19.20,19.35,506,120595,2299680.00,
